z,a,year,method,reference
14,48,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
14,49,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
14,50,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
15,22,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
15,23,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
15,47,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
15,48,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
15,49,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
15,50,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
15,51,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,24,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,25,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,50,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,51,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,52,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,53,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,54,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
16,55,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,26,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,52,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,53,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,54,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,55,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,56,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,57,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,58,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,59,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
17,60,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
18,59,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
18,61,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,30,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,31,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,56,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,57,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,58,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,59,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,60,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,61,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,62,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,63,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,64,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
19,65,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
20,32,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
20,33,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
20,71,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
20,72,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
21,62,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
21,63,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
21,64,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
21,65,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
21,66,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
21,67,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
23,38,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
23,39,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
23,66,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
23,67,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
23,68,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
23,69,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
23,70,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
24,41,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
24,68,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
24,69,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
24,70,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
24,71,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
25,42,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
25,43,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
25,70,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
25,71,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
26,43,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
52,132,2020,,
52,134,2020,,
54,136,2020,,
82,208,2021,,
24,72,2024,,"EPJA 60 209"
24,74,2024,,"PLB 858 139010"
42,84,2024,,"PRC 110 L011302"
49,99,2024,,"PRL 132 232503"
49,100,2024,,"PRL 132 232503"
49,101,2024,,"PRL 132 232503"
49,102,2024,,"PRL 132 232503"
49,103,2024,,"PRL 132 232503"
49,104,2024,,"PRL 132 232503"
49,105,2024,,"PRL 132 232503"
49,106,2024,,"PRL 132 232503"
49,107,2024,,"PRL 132 232503"
49,108,2024,,"PRL 132 232503"
49,109,2024,,"PRL 132 232503"
49,110,2024,,"PRL 132 232503"
49,111,2024,,"PRL 132 232503"
49,112,2024,,"PRL 132 232503"
49,113,2024,,"PRL 132 232503"
49,114,2024,,"PRL 132 232503"
49,115,2024,,"PRL 132 232503"
49,116,2024,,"PRL 132 232503"
49,117,2024,,"PRL 132 232503"
49,118,2024,,"PRL 132 232503"
49,119,2024,,"PRL 132 232503"
49,120,2024,,"PRL 132 232503"
49,121,2024,,"PRL 132 232503"
49,122,2024,,"PRL 132 232503"
49,123,2024,,"PRL 132 232503"
49,124,2024,,"PRL 132 232503"
49,125,2024,,"PRL 132 232503"
49,126,2024,,"PRL 132 232503"
49,127,2024,,"PRL 132 232503"
49,128,2024,,"PRL 132 232503"
49,129,2024,,"PRL 132 232503"
49,130,2024,,"PRL 132 232503"
49,131,2024,,"PRL 132 232503"
51,112,2024,,"PLB 847 138278"
51,113,2024,,"PLB 847 138278"
51,114,2024,,"PLB 847 138278"
51,115,2024,,"PLB 847 138278"
51,116,2024,,"PLB 847 138278"
51,117,2024,,"PLB 847 138278"
51,118,2024,,"PLB 847 138278"
51,119,2024,,"PLB 847 138278"
51,120,2024,,"PLB 847 138278"
51,121,2024,,"PLB 847 138278"
51,122,2024,,"PLB 847 138278"
